pk,generation,num_children,audio,chain,parent,game_name,chain_name,message_name,remove
222,1,1,within-category-game-a/spliff/gen-1_27374zy.wav,8,139.0,within-category-game-a,spliff,gen-1_27374zy.wav,0.0
148,1,1,within-category-game-a/spliff/gen-1_B84f77H.wav,8,139.0,within-category-game-a,spliff,gen-1_B84f77H.wav,1.0
152,2,1,within-category-game-a/spliff/gen-2.wav,8,146.0,within-category-game-a,spliff,gen-2.wav,0.0
164,2,1,within-category-game-a/spliff/gen-2_7YahVgq.wav,8,146.0,within-category-game-a,spliff,gen-2_7YahVgq.wav,0.0
178,2,1,within-category-game-a/spliff/gen-2_GFjeQis.wav,8,148.0,within-category-game-a,spliff,gen-2_GFjeQis.wav,1.0
196,2,1,within-category-game-a/spliff/gen-2_W91zmyO.wav,8,148.0,within-category-game-a,spliff,gen-2_W91zmyO.wav,1.0
159,2,1,within-category-game-a/spliff/gen-2_g4juHHu.wav,8,146.0,within-category-game-a,spliff,gen-2_g4juHHu.wav,1.0
160,2,1,within-category-game-a/spliff/gen-2_nRB555L.wav,8,148.0,within-category-game-a,spliff,gen-2_nRB555L.wav,1.0
228,2,1,within-category-game-a/spliff/gen-2_st2fgOO.wav,8,146.0,within-category-game-a,spliff,gen-2_st2fgOO.wav,0.0
166,3,1,within-category-game-a/spliff/gen-3.wav,8,159.0,within-category-game-a,spliff,gen-3.wav,1.0
177,3,1,within-category-game-a/spliff/gen-3_DHjQJWo.wav,8,152.0,within-category-game-a,spliff,gen-3_DHjQJWo.wav,1.0
203,3,1,within-category-game-a/spliff/gen-3_EpkEWun.wav,8,159.0,within-category-game-a,spliff,gen-3_EpkEWun.wav,1.0
218,3,1,within-category-game-a/spliff/gen-3_LiTE39F.wav,8,159.0,within-category-game-a,spliff,gen-3_LiTE39F.wav,1.0
210,3,1,within-category-game-a/spliff/gen-3_OKeYb7O.wav,8,164.0,within-category-game-a,spliff,gen-3_OKeYb7O.wav,0.0
266,3,1,within-category-game-a/spliff/gen-3_mnOOtj1.wav,8,178.0,within-category-game-a,spliff,gen-3_mnOOtj1.wav,1.0
233,3,1,within-category-game-a/spliff/gen-3_tqln1wY.wav,8,196.0,within-category-game-a,spliff,gen-3_tqln1wY.wav,1.0
170,4,1,within-category-game-a/spliff/gen-4.wav,8,166.0,within-category-game-a,spliff,gen-4.wav,1.0
200,4,1,within-category-game-a/spliff/gen-4_JGWCXoy.wav,8,166.0,within-category-game-a,spliff,gen-4_JGWCXoy.wav,1.0
240,4,1,within-category-game-a/spliff/gen-4_yzpqBzF.wav,8,166.0,within-category-game-a,spliff,gen-4_yzpqBzF.wav,1.0
183,5,1,within-category-game-a/spliff/gen-5.wav,8,170.0,within-category-game-a,spliff,gen-5.wav,1.0
212,5,1,within-category-game-a/spliff/gen-5_9enLhw1.wav,8,200.0,within-category-game-a,spliff,gen-5_9enLhw1.wav,1.0
186,5,1,within-category-game-a/spliff/gen-5_Ie6Y6ty.wav,8,170.0,within-category-game-a,spliff,gen-5_Ie6Y6ty.wav,1.0
273,5,1,within-category-game-a/spliff/gen-5_J2hcz30.wav,8,200.0,within-category-game-a,spliff,gen-5_J2hcz30.wav,1.0
229,5,1,within-category-game-a/spliff/gen-5_dm81GXx.wav,8,200.0,within-category-game-a,spliff,gen-5_dm81GXx.wav,1.0
190,6,1,within-category-game-a/spliff/gen-6.wav,8,186.0,within-category-game-a,spliff,gen-6.wav,1.0
263,6,1,within-category-game-a/spliff/gen-6_1Zato0z.wav,8,212.0,within-category-game-a,spliff,gen-6_1Zato0z.wav,1.0
245,6,1,within-category-game-a/spliff/gen-6_9DQPLyr.wav,8,186.0,within-category-game-a,spliff,gen-6_9DQPLyr.wav,1.0
258,6,1,within-category-game-a/spliff/gen-6_cvFlEjE.wav,8,186.0,within-category-game-a,spliff,gen-6_cvFlEjE.wav,1.0
252,6,1,within-category-game-a/spliff/gen-6_h7SphEF.wav,8,229.0,within-category-game-a,spliff,gen-6_h7SphEF.wav,1.0
249,6,1,within-category-game-a/spliff/gen-6_teXiMH5.wav,8,183.0,within-category-game-a,spliff,gen-6_teXiMH5.wav,1.0
239,7,1,within-category-game-a/spliff/gen-7.wav,8,190.0,within-category-game-a,spliff,gen-7.wav,1.0
269,7,1,within-category-game-a/spliff/gen-7_82s6jtv.wav,8,258.0,within-category-game-a,spliff,gen-7_82s6jtv.wav,1.0
139,0,1,within-category-game-a/spliff/seed.wav,8,,within-category-game-a,spliff,seed.wav,0.0
147,1,1,within-category-game-a/splish/gen-1.wav,7,138.0,within-category-game-a,splish,gen-1.wav,0.0
149,1,1,within-category-game-a/splish/gen-1_9yHqW8V.wav,7,138.0,within-category-game-a,splish,gen-1_9yHqW8V.wav,0.0
151,2,1,within-category-game-a/splish/gen-2.wav,7,147.0,within-category-game-a,splish,gen-2.wav,1.0
162,2,1,within-category-game-a/splish/gen-2_8QhdTAX.wav,7,149.0,within-category-game-a,splish,gen-2_8QhdTAX.wav,0.0
161,2,1,within-category-game-a/splish/gen-2_TRLEjDL.wav,7,149.0,within-category-game-a,splish,gen-2_TRLEjDL.wav,0.0
157,2,1,within-category-game-a/splish/gen-2_akzNs6b.wav,7,149.0,within-category-game-a,splish,gen-2_akzNs6b.wav,1.0
165,2,1,within-category-game-a/splish/gen-2_bu8PF7C.wav,7,149.0,within-category-game-a,splish,gen-2_bu8PF7C.wav,0.0
180,2,1,within-category-game-a/splish/gen-2_d81lpCE.wav,7,149.0,within-category-game-a,splish,gen-2_d81lpCE.wav,0.0
181,2,1,within-category-game-a/splish/gen-2_zcyf2rL.wav,7,149.0,within-category-game-a,splish,gen-2_zcyf2rL.wav,0.0
171,3,1,within-category-game-a/splish/gen-3.wav,7,161.0,within-category-game-a,splish,gen-3.wav,0.0
232,3,1,within-category-game-a/splish/gen-3_BuWKBue.wav,7,180.0,within-category-game-a,splish,gen-3_BuWKBue.wav,0.0
197,3,1,within-category-game-a/splish/gen-3_Cej6x7X.wav,7,162.0,within-category-game-a,splish,gen-3_Cej6x7X.wav,0.0
226,3,1,within-category-game-a/splish/gen-3_D27lC0q.wav,7,165.0,within-category-game-a,splish,gen-3_D27lC0q.wav,0.0
188,3,1,within-category-game-a/splish/gen-3_LB4BxW1.wav,7,162.0,within-category-game-a,splish,gen-3_LB4BxW1.wav,0.0
255,3,1,within-category-game-a/splish/gen-3_NbOtli9.wav,7,180.0,within-category-game-a,splish,gen-3_NbOtli9.wav,0.0
223,3,1,within-category-game-a/splish/gen-3_TP6v6mu.wav,7,157.0,within-category-game-a,splish,gen-3_TP6v6mu.wav,1.0
176,3,1,within-category-game-a/splish/gen-3_ipanX4t.wav,7,151.0,within-category-game-a,splish,gen-3_ipanX4t.wav,1.0
192,3,1,within-category-game-a/splish/gen-3_uuHuqhB.wav,7,157.0,within-category-game-a,splish,gen-3_uuHuqhB.wav,1.0
204,4,1,within-category-game-a/splish/gen-4.wav,7,192.0,within-category-game-a,splish,gen-4.wav,1.0
247,4,1,within-category-game-a/splish/gen-4_1lIFkNb.wav,7,197.0,within-category-game-a,splish,gen-4_1lIFkNb.wav,0.0
231,4,1,within-category-game-a/splish/gen-4_9dmCHII.wav,7,226.0,within-category-game-a,splish,gen-4_9dmCHII.wav,0.0
260,4,1,within-category-game-a/splish/gen-4_NSS1wa1.wav,7,171.0,within-category-game-a,splish,gen-4_NSS1wa1.wav,0.0
214,4,1,within-category-game-a/splish/gen-4_ehyOEkQ.wav,7,188.0,within-category-game-a,splish,gen-4_ehyOEkQ.wav,0.0
256,4,1,within-category-game-a/splish/gen-4_jowY9Jk.wav,7,197.0,within-category-game-a,splish,gen-4_jowY9Jk.wav,0.0
206,4,1,within-category-game-a/splish/gen-4_nVCjsRI.wav,7,171.0,within-category-game-a,splish,gen-4_nVCjsRI.wav,0.0
268,4,1,within-category-game-a/splish/gen-4_veWnJOZ.wav,7,188.0,within-category-game-a,splish,gen-4_veWnJOZ.wav,0.0
208,5,1,within-category-game-a/splish/gen-5.wav,7,206.0,within-category-game-a,splish,gen-5.wav,0.0
221,5,1,within-category-game-a/splish/gen-5_OaOhg2S.wav,7,214.0,within-category-game-a,splish,gen-5_OaOhg2S.wav,0.0
211,5,1,within-category-game-a/splish/gen-5_akXOAdY.wav,7,204.0,within-category-game-a,splish,gen-5_akXOAdY.wav,1.0
238,6,1,within-category-game-a/splish/gen-6.wav,7,221.0,within-category-game-a,splish,gen-6.wav,0.0
243,6,1,within-category-game-a/splish/gen-6_VSLWLWb.wav,7,221.0,within-category-game-a,splish,gen-6_VSLWLWb.wav,0.0
265,7,1,within-category-game-a/splish/gen-7.wav,7,238.0,within-category-game-a,splish,gen-7.wav,0.0
275,7,1,within-category-game-a/splish/gen-7_3aw08xL.wav,7,243.0,within-category-game-a,splish,gen-7_3aw08xL.wav,0.0
138,0,2,within-category-game-a/splish/seed.wav,7,,within-category-game-a,splish,seed.wav,0.0
142,1,1,within-category-game-a/sploush/gen-1.wav,9,140.0,within-category-game-a,sploush,gen-1.wav,1.0
156,1,1,within-category-game-a/sploush/gen-1_6B1Vcjh.wav,9,140.0,within-category-game-a,sploush,gen-1_6B1Vcjh.wav,0.0
150,1,1,within-category-game-a/sploush/gen-1_6lbMtjy.wav,9,140.0,within-category-game-a,sploush,gen-1_6lbMtjy.wav,0.0
153,2,1,within-category-game-a/sploush/gen-2.wav,9,150.0,within-category-game-a,sploush,gen-2.wav,1.0
