message_id,generation,num_children,audio,chain_id,parent_id,game_name,chain_name,message_name
47,3,0,between-category-game-a/heeh/gen-3_wJUtjep.wav,1,26.0,between-category-game-a,heeh,gen-3_wJUtjep.wav
124,3,0,between-category-game-a/heeh/gen-3_zjzAWPv.wav,1,37.0,between-category-game-a,heeh,gen-3_zjzAWPv.wav
67,4,0,between-category-game-a/heeh/gen-4.wav,1,32.0,between-category-game-a,heeh,gen-4.wav
133,4,0,between-category-game-a/heeh/gen-4_3Kjkvfx.wav,1,124.0,between-category-game-a,heeh,gen-4_3Kjkvfx.wav
128,4,0,between-category-game-a/heeh/gen-4_5n6kgPk.wav,1,115.0,between-category-game-a,heeh,gen-4_5n6kgPk.wav
83,4,0,between-category-game-a/heeh/gen-4_8xV8dSN.wav,1,51.0,between-category-game-a,heeh,gen-4_8xV8dSN.wav
104,4,0,between-category-game-a/heeh/gen-4_CNbazb7.wav,1,63.0,between-category-game-a,heeh,gen-4_CNbazb7.wav
80,4,0,between-category-game-a/heeh/gen-4_VDgqNuO.wav,1,47.0,between-category-game-a,heeh,gen-4_VDgqNuO.wav
98,4,0,between-category-game-a/heeh/gen-4_XsVGFJJ.wav,1,47.0,between-category-game-a,heeh,gen-4_XsVGFJJ.wav
97,4,0,between-category-game-a/heeh/gen-4_YnUZvt1.wav,1,32.0,between-category-game-a,heeh,gen-4_YnUZvt1.wav
74,4,0,between-category-game-a/heeh/gen-4_ZMJmoYJ.wav,1,47.0,between-category-game-a,heeh,gen-4_ZMJmoYJ.wav
117,4,0,between-category-game-a/heeh/gen-4_icuXvV8.wav,1,57.0,between-category-game-a,heeh,gen-4_icuXvV8.wav
73,4,0,between-category-game-a/heeh/gen-4_wEXVrnJ.wav,1,51.0,between-category-game-a,heeh,gen-4_wEXVrnJ.wav
86,5,0,between-category-game-a/heeh/gen-5.wav,1,74.0,between-category-game-a,heeh,gen-5.wav
434,5,1,between-category-game-a/heeh/gen-5_05IN4mW.wav,1,73.0,between-category-game-a,heeh,gen-5_05IN4mW.wav
382,5,0,between-category-game-a/heeh/gen-5_Ay0jYSS.wav,1,67.0,between-category-game-a,heeh,gen-5_Ay0jYSS.wav
309,5,0,between-category-game-a/heeh/gen-5_J7yyTnq.wav,1,133.0,between-category-game-a,heeh,gen-5_J7yyTnq.wav
280,5,0,between-category-game-a/heeh/gen-5_JIsojTd.wav,1,80.0,between-category-game-a,heeh,gen-5_JIsojTd.wav
345,5,0,between-category-game-a/heeh/gen-5_JXAOWTC.wav,1,74.0,between-category-game-a,heeh,gen-5_JXAOWTC.wav
353,5,0,between-category-game-a/heeh/gen-5_M3KYLLK.wav,1,97.0,between-category-game-a,heeh,gen-5_M3KYLLK.wav
360,5,1,between-category-game-a/heeh/gen-5_OUVPfGW.wav,1,117.0,between-category-game-a,heeh,gen-5_OUVPfGW.wav
406,5,0,between-category-game-a/heeh/gen-5_XQvn4lB.wav,1,83.0,between-category-game-a,heeh,gen-5_XQvn4lB.wav
343,5,0,between-category-game-a/heeh/gen-5_jkMyQGj.wav,1,98.0,between-category-game-a,heeh,gen-5_jkMyQGj.wav
92,5,0,between-category-game-a/heeh/gen-5_qilfmtV.wav,1,73.0,between-category-game-a,heeh,gen-5_qilfmtV.wav
331,5,1,between-category-game-a/heeh/gen-5_qydCIWu.wav,1,128.0,between-category-game-a,heeh,gen-5_qydCIWu.wav
108,5,0,between-category-game-a/heeh/gen-5_rYKctKm.wav,1,104.0,between-category-game-a,heeh,gen-5_rYKctKm.wav
284,5,0,between-category-game-a/heeh/gen-5_sI0vqbF.wav,1,104.0,between-category-game-a,heeh,gen-5_sI0vqbF.wav
313,6,0,between-category-game-a/heeh/gen-6.wav,1,309.0,between-category-game-a,heeh,gen-6.wav
387,6,1,between-category-game-a/heeh/gen-6_5MFDODm.wav,1,343.0,between-category-game-a,heeh,gen-6_5MFDODm.wav
528,6,1,between-category-game-a/heeh/gen-6_DT1hRO5.wav,1,92.0,between-category-game-a,heeh,gen-6_DT1hRO5.wav
470,6,1,between-category-game-a/heeh/gen-6_KTiChcj.wav,1,345.0,between-category-game-a,heeh,gen-6_KTiChcj.wav
373,6,0,between-category-game-a/heeh/gen-6_Lj4Lv9c.wav,1,284.0,between-category-game-a,heeh,gen-6_Lj4Lv9c.wav
386,6,0,between-category-game-a/heeh/gen-6_Mtwn1Xy.wav,1,353.0,between-category-game-a,heeh,gen-6_Mtwn1Xy.wav
326,6,0,between-category-game-a/heeh/gen-6_TVssEqK.wav,1,86.0,between-category-game-a,heeh,gen-6_TVssEqK.wav
497,6,1,between-category-game-a/heeh/gen-6_Xzf7uEN.wav,1,108.0,between-category-game-a,heeh,gen-6_Xzf7uEN.wav
414,6,1,between-category-game-a/heeh/gen-6_jWSZv92.wav,1,406.0,between-category-game-a,heeh,gen-6_jWSZv92.wav
463,6,0,between-category-game-a/heeh/gen-6_wxoWknA.wav,1,382.0,between-category-game-a,heeh,gen-6_wxoWknA.wav
